"","ID","Año","Lab","Txt","PSI","SAR","USDA","EU"
"2370",2370,2010,"2858",NA,4.64113244047619,3.08008624362225,"LoSa","Gruesa"
"2632",2632,2010,"11322",NA,1.74800493421053,1.55570071046159,"LoSa","Gruesa"
"2772",2772,2010,"12878",NA,0.582903169014084,0.792118034381339,"SaLo","Gruesa"
"2975",2975,2011,"3853","Franco Arenoso",1.18711607142857,1.12970831452743,"SaLo","Media"
"3087",3087,2018,"13043","Franco Arenoso",1.87406300287356,8.56022410700946,"SaLo","Gruesa"
"3220",3220,2012,"17540","Arenoso",2.47035568181818,0.91136887171934,"Sa","Gruesa"
"3286",3286,2012,"1301","Franco Arenoso",5.15245625,1.61101056159971,"SaLo","Media"
"3751",3751,2012,"15134","Franco Arenoso",15.7004830729167,53.7787394659942,"SaLo","Gruesa"
"3752",3752,2012,"15135","Franco Arenoso",11.1497086340206,36.9680947037659,"SaLo","Gruesa"
"3755",3755,2012,"15183","Arenoso",5.81751373239437,7.9924923788659,"Sa","Gruesa"
"3756",3756,2012,"15184","Arenoso",5.1630434375,3.35746788577744,"Sa","Gruesa"
"3757",3757,2012,"15185","Arena Franca",4.8566142287234,47.2217563129367,"LoSa","Gruesa"
"3758",3758,2012,"15186","Arenoso",4.07608703125,33.9428750692564,"Sa","Gruesa"
"3759",3759,2012,"15187","Arenoso",6.64251215277778,2.83699392137655,"Sa","Gruesa"
"3760",3760,2012,"15188","Arena Franca",3.26086958333333,2.78300526347507,"LoSa","Gruesa"
"3761",3761,2012,"15596","Arena Franca",2.649456484375,4.51045514011952,"LoSa","Gruesa"
"3762",3762,2012,"15597","Arena Franca",2.75013094879518,5.41159118457189,"LoSa","Gruesa"
"3763",3763,2012,"16285","Franco Arenoso",12.1674237873134,53.7270163452129,"SaLo","Media"
"3764",3764,2012,"16286","Franco Arenoso",9.88142295454545,15.0970271219279,"SaLo","Media"
"3765",3765,2012,"16332","Arena Franca",0.213509308035714,1.22396700858121,"LoSa","Gruesa"
"3766",3766,2012,"16333","Fr.Ar.",0.352335980551053,1.00822110864709,"Lo","Media"
"3767",3767,2012,"16334","Franco",0.514101055743243,1.00322953551229,"Lo","Media"
"3768",3768,2012,"16335","Franco",0.480612435846822,0.931866519078905,"Lo","Media"
"3769",3769,2012,"16336","Franco",0.245441814516129,0.974099805920157,"Lo","Media"
"3771",3771,2012,"16338","Fr.Ar.",0.31291831267493,0.374712365321918,"Lo","Media"
"3772",3772,2012,"16339","Franco",0.209617959019687,0.841060745469727,"Lo","Media"
"3773",3773,2012,"16340","Franco",0.240211404893449,1.15915468164164,"Lo","Media"
"3775",3775,2012,"16342","Franco",0.210039895330113,1.16890101720162,"Lo","Media"
"3776",3776,2012,"16343","Franco",0.136993343836156,1.02176318195558,"Lo","Media"
"3777",3777,2012,"16344","Franco",0.14372979338843,0.351390964249364,"Lo","Media"
"3778",3778,2012,"16345","Franco",0.144506065641878,0.949385766342288,"Lo","Media"
"3779",3779,2012,"16346","Franco",0.17760727124183,0.39300452254971,"Lo","Media"
"3780",3780,2012,"16347","Franco",0.242508247011952,0.358979079308869,"Lo","Media"
"3781",3781,2012,"16348","Franco",0.31266827806632,1.07807495752155,"Lo","Media"
"3782",3782,2012,"16349","Franco",0.274961343873518,0.948701598091951,"Lo","Media"
"3783",3783,2012,"16350","Franco",0.204523363386907,1.04735692184619,"Lo","Media"
"3784",3784,2012,"16351","Fr.Ar.",0.45713125,0.958319785663535,"ClLo","Media"
"3785",3785,2012,"16352","Franco Arenoso",0.258799166666667,0.975,"SaLo","Media"
"3786",3786,2012,"16353","Franco",0.157529936594203,0.932647958645223,"Lo","Media"
"3787",3787,2012,"16354","Franco",0.0757790849673203,1.00789791593952,"Lo","Media"
"3788",3788,2012,"16355","Franco Arenoso",0.433207291666667,0.367450786257541,"SaLo","Media y Gruesa"
"4012",4012,2013,"10408",NA,17.39130425,14.9664332164597,"Sa","Gruesa"
"4016",4016,2013,"10412",NA,10.0543478125,43.2538452745185,"Sa","Gruesa"
"4021",4021,2013,"10417",NA,25.5681818181818,27.935,"LoSa","Gruesa"
"4427",4427,2013,"19730",NA,1.84894664948454,1.37568285271653,"Cl","Fina"
"4428",4428,2013,"19731",NA,2.09627330357143,0.89004947339991,"Cl","Fina"
"4531",4531,2014,"21189",NA,3.92512083333333,0.404951558985214,"Sa","Gruesa"
"4532",4532,2014,"21190",NA,3.83631727941176,0.429058165160517,"Sa","Gruesa"
"4649",4649,2014,"2759",NA,11.2318839583333,1.10410489494777,"Sa","Gruesa"
"5072",5072,2015,"2863",NA,0.692165713443396,0.179605302026775,"Cl;ClLo","Fina"
"5076",5076,2015,"2867",NA,0.54347825,0.291385758707179,"SaLo","Gruesa"
"5081",5081,2015,"2868",NA,0.876577822580645,0.614700856398576,"SaLo","Media"
"5082",5082,2015,"2869",NA,0.569358154761905,0.464670170494017,"Lo","Media"
"5083",5083,2015,"2870",NA,0.978260875,0.501996015920445,"Lo","Media"
"5084",5084,2015,"2871",NA,0.839920965909091,0.5334005334008,"ClLo","Media"
"5090",5090,2015,"2877",NA,0.325157959401709,0.431331092813754,"SaLo","Gruesa"
"5091",5091,2015,"2878",NA,0.54347825,0.737902432574931,"Lo","Media"
"5092",5092,2015,"2879",NA,1.06454503865979,1.01362806811232,"SaLo","Media"
"5093",5093,2015,"2880",NA,0.558715946261682,0.604009591154724,"Lo","Media"
"5289",5289,2016,"2437",NA,8.33333333333333,8.48848881444402,"Sa","Gruesa"
"5290",5290,2016,"2438",NA,9.3410326171875,6.68322516469783,"Sa","Gruesa"
"5295",5295,2016,"3173",NA,12.8170290104167,47.304,"SaLo","Media"
"5370",5370,2016,"7723",NA,4.43840583333333,9.62427520384844,"SaLo","Gruesa"
"5412",5412,2016,"8937",NA,1.19988709415584,1.68770561823059,"SaLo","Media"
"5459",5459,2017,"348",NA,3.26086964285714,67.6925384358492,"SaLo","Gruesa"
"5686",5686,2017,"12905",NA,11.3491047794118,2.23330573738578,"Sa","Gruesa"
"5892",5892,2018,"8513",NA,3.62318837719298,1.74054050040912,"Lo","Media"
